municipio,poblacion,planta_id,distancia_km,produccion_t,tkm,C_trans,C_trat,C_tot
Casas de Don Antonio,213,41,22.44,106.50,2390.26,7.86,8.80,16.65
Nava de Santiago. La,1089,14,36.04,544.50,19622.85,12.61,4.03,16.65
Montemolín,1534,10,28.42,767.00,21801.16,9.95,6.66,16.61
Llera,947,1,23.14,473.50,10957.59,8.10,8.50,16.60
Valverde de Llerena,714,10,28.31,357.00,10106.75,9.91,6.66,16.57
Berlanga,2484,10,28.29,1242.00,35139.60,9.90,6.66,16.56
Monterrubio de la Serena,2710,16,6.05,1355.00,8196.34,2.12,14.40,16.51
Pinofranqueado,1687,21,20.36,843.50,17174.73,7.13,9.38,16.50
Zorita,1673,45,22.32,836.50,18672.72,7.81,8.69,16.50
Torre de Miguel Sesmero,1257,13,28.34,628.50,17809.13,9.92,6.59,16.50
Villagonzalo,1348,14,35.57,674.00,23974.17,12.45,4.03,16.48
Santa Cruz de Paniagua,315,25,22.38,157.50,3524.70,7.83,8.64,16.47
Fuente de Cantos,5039,10,27.81,2519.50,70060.67,9.73,6.66,16.39
Conquista de la Sierra,210,19,21.44,105.00,2251.39,7.50,8.81,16.32
Benquerencia,98,41,21.36,49.00,1046.80,7.48,8.80,16.28
Alcántara,1653,44,18.09,826.50,14954.41,6.33,9.90,16.24
Puebla de la Calzada,5903,4,26.75,2951.50,78938.17,9.36,6.83,16.19
Carmonita,581,41,20.97,290.50,6090.49,7.34,8.80,16.14
Higuera de la Serena,1043,6,21.66,521.50,11297.79,7.58,8.55,16.13
Cumbre. La,982,19,20.89,491.00,10257.97,7.31,8.81,16.12
Ruanes,68,41,20.72,34.00,704.54,7.25,8.80,16.05
Corte de Peleas,1307,4,26.15,653.50,17090.19,9.15,6.83,15.99
Montijo,16236,4,26.09,8118.00,211797.26,9.13,6.83,15.96
Zarza-Capilla,403,7,12.88,201.50,2595.66,4.51,11.44,15.95
Torremocha,1038,41,20.32,519.00,10544.11,7.11,8.80,15.91
Torrecilla de los Ángeles,687,31,20.03,343.50,6878.68,7.01,8.81,15.82
Valdetorres,1331,3,28.46,665.50,18937.59,9.96,5.83,15.79
Maguilla,1084,10,26.08,542.00,14136.37,9.13,6.66,15.79
Mata de Alcántara,330,44,16.74,165.00,2761.56,5.86,9.90,15.76
Nogales,724,9,32.96,362.00,11932.17,11.54,4.22,15.75
Puebla de Alcocer,1272,11,21.42,636.00,13620.62,7.50,8.20,15.70
Valverde de la Vera,588,22,19.65,294.00,5776.06,6.88,8.81,15.69
Santa Marta,4322,9,32.75,2161.00,70766.44,11.46,4.22,15.68
Palomas,701,1,20.29,350.50,7112.94,7.10,8.50,15.60
Valdastillas,380,22,19.27,190.00,3661.89,6.75,8.81,15.56
Villar de Plasencia,229,22,19.26,114.50,2205.71,6.74,8.81,15.56
Almendral,1307,13,25.56,653.50,16704.47,8.95,6.59,15.53
Peraleda de la Mata,1453,27,20.26,726.50,14718.23,7.09,8.41,15.50
Garlitos,681,11,20.67,340.50,7037.19,7.23,8.20,15.44
Rebollar,237,22,18.79,118.50,2226.87,6.58,8.81,15.39
Bohonal de Ibor,535,27,19.95,267.50,5335.67,6.98,8.41,15.39
Arroyomolinos de la Vera,497,22,18.57,248.50,4613.78,6.50,8.81,15.31
Talaveruela de la Vera,365,22,18.52,182.50,3380.08,6.48,8.81,15.30
Zarza de Montánchez,619,41,18.56,309.50,5743.85,6.50,8.80,15.29
