v_op,F,EF1,p,Coste_regional_S0,Coste_S1,Coste_S2,CO2_S0_t,CO2_S1_t,CO2_S2_t,n_onsite_S1,n_onsite_S2,n_perdedores_S1,pct_mejorados_S2,rec_share_base,rec_share_onsite,EF5_NA,CAP_ANUAL_T,Coste_S2_cap,CO2_S2_cap_t,n_onsite_S2_cap,n_perdedores_S2_cap,Coste_S3,CO2_S3_t,n_onsite_S3,n_perdedores_S3
14,5000,120,0.2,10058521.01375,11505190.811,9919379.166800769,3656.16225,2958.0021,3472.3091798402634,383,19,364,4.960835509138382,0.6,0.85,4.0,200000,9919379.166800769,3472.3091798402634,19,0,9621263.916050013,3177.4051063396882,321,0
14,5000,120,0.3,10058521.01375,11271025.709625,9791092.216890557,3656.16225,2608.922025,3318.4885446481903,383,31,352,8.093994778067884,0.6,0.85,4.0,200000,9791092.216890557,3318.4885446481903,31,0,9345963.58517767,2924.368430101716,338,0
14,5000,120,0.4,10058521.01375,11036860.60825,9638143.775493322,3656.16225,2259.8419499999995,3114.5637512605676,383,50,333,13.054830287206267,0.6,0.85,4.0,200000,9638143.775493322,3114.5637512605676,50,0,9069230.046429474,2678.851874536345,342,0
14,5000,120,0.5,10058521.01375,10802695.506874999,9466354.301834224,3656.16225,1910.761875,2934.990723657448,383,60,323,15.66579634464752,0.6,0.85,4.0,200000,9466354.301834224,2934.990723657448,60,0,8791847.604940936,2422.835235652261,347,0
14,5000,120,0.6,10058521.01375,10568530.4055,9276793.734551273,3656.16225,1561.6818,2657.130644589008,383,86,297,22.45430809399478,0.6,0.85,4.0,200000,9276793.734551273,2657.130644589008,86,0,8513741.169063054,2116.9515985955236,351,0
14,5000,120,0.7,10058521.01375,10334365.304125,9070451.56791181,3656.16225,1212.601725,2440.568233055477,383,98,285,25.587467362924283,0.6,0.85,4.0,200000,9070451.56791181,2440.568233055477,98,0,8235363.056646119,1833.6568326466179,353,0
16,1250,30,0.1,10058521.01375,10413346.912375,9982322.523064855,1947.5499375,1769.33109375,1899.200670560559,383,34,349,8.877284595300262,0.6,0.85,4.0,200000,9982322.523064855,1899.200670560559,34,0,9872790.865183102,1848.0882858798477,295,0
16,1250,30,0.2,10058521.01375,10289422.811,9839132.06025864,1947.5499375,1591.11225,1811.723641259312,383,82,301,21.409921671018278,0.6,0.85,4.0,200000,9839132.06025864,1811.723641259312,82,0,9660202.93516253,1745.298066351154,305,0
16,1250,30,0.3,10058521.01375,10165498.709625,9665499.133332025,1947.5499375,1412.89340625,1710.2595613463166,383,126,257,32.89817232375979,0.6,0.85,4.0,200000,9665499.133332025,1710.2595613463166,126,0,9447323.683543704,1642.5657753522796,309,0
16,1250,30,0.4,10058521.01375,10041574.60825,9476171.08829268,1947.5499375,1234.6745625,1608.2929792579441,383,155,228,40.469973890339425,0.6,0.85,4.0,200000,9476171.08829268,1608.2929792579441,155,0,9234360.32254952,1539.356244712236,311,0
16,1250,30,0.5,10058521.01375,9917650.506874999,9279619.89124535,1947.5499375,1056.45571875,1504.7864598817443,383,175,208,45.69190600522193,0.6,0.85,4.0,200000,9279619.89124535,1504.7864598817443,175,0,9021339.989433853,1437.1420216453942,312,0
16,1250,30,0.6,10058521.01375,9793726.4055,9078839.00854294,1947.5499375,878.236875,1402.7971290851092,383,192,191,50.130548302872064,0.6,0.85,4.0,200000,9078839.00854294,1402.7971290851092,192,0,8808314.009362577,1334.4932302653467,313,0
16,1250,30,0.7,10058521.01375,9669802.304125,8875358.303187886,1947.5499375,700.0180312500001,1309.2699442975334,383,195,188,50.91383812010444,0.6,0.85,4.0,200000,8875358.303187886,1309.2699442975334,195,0,8595282.661784085,1232.3171123929046,313,0
16,1250,60,0.1,10058521.01375,10413346.912375,9982322.523064855,2517.087375,2281.9147875,2448.0151211211178,383,34,349,8.877284595300262,0.6,0.85,4.0,200000,9982322.523064855,2448.0151211211178,34,0,9872790.865183102,2378.8259917596956,295,0
16,1250,60,0.2,10058521.01375,10289422.811,9839132.06025864,2517.087375,2046.7422,2325.610482518624,383,82,301,21.409921671018278,0.6,0.85,4.0,200000,9839132.06025864,2325.610482518624,82,0,9660202.93516253,2236.440112702308,305,0
16,1250,60,0.3,10058521.01375,10165498.709625,9665499.133332025,2517.087375,1811.5696125,2183.8307726926328,383,126,257,32.89817232375979,0.6,0.85,4.0,200000,9665499.133332025,2183.8307726926328,126,0,9447323.683543704,2094.095730704559,309,0
16,1250,60,0.4,10058521.01375,10041574.60825,9476171.08829268,2517.087375,1576.397025,2041.676578515888,383,155,228,40.469973890339425,0.6,0.85,4.0,200000,9476171.08829268,2041.676578515888,155,0,9234360.32254952,1951.2144294244722,311,0
