municipio,planta_id,poblacion,produccion_t,d_km,d_obra_km,C_loopA_euro_t,LC0_euro_hab,CE0_kg_hab,LC_S1_euro_hab,CE_S1_kg_hab,LC_S2_euro_hab,CE_S2_kg_hab,onsite_S2,LC_S2cap_euro_hab,CE_S2cap_kg_hab,onsite_S2cap,LC_S3_euro_hab,CE_S3_kg_hab,onsite_S3,credito_EF5_kg_hab
Albuera. La,4,1986,993.0,22.47,21.80,22.32,11.1605,2.5782,9.8390,1.3641,9.8390,1.3641,1,9.8390,1.3641,1,8.6532,1.3641,1,0.2500
Táliga,13,801,400.5,23.14,22.19,22.46,11.2287,2.6100,11.7354,1.3800,11.2287,2.6100,0,11.2287,2.6100,0,8.6817,1.3800,1,0.2500
Zarza. La,14,3563,1781.5,30.39,30.94,25.50,12.7501,3.0900,10.0767,1.6200,10.0767,1.6200,1,10.0767,1.6200,1,9.4025,1.6200,1,0.2500
Villasbuenas de Gata,31,456,228.0,16.53,30.51,25.28,12.6387,2.6611,14.8018,1.4056,12.6387,2.6611,0,12.6387,2.6611,0,9.4885,1.4056,1,0.2500
Puerto de Santa Cruz,19,393,196.5,16.29,15.66,19.99,9.9946,2.2084,14.3586,1.1792,9.9946,2.2084,0,9.9946,2.2084,0,8.1295,1.1792,1,0.2500
Alconchel,13,1951,975.5,22.27,22.19,22.16,11.0787,2.5839,9.8207,1.3669,9.8207,1.3669,1,9.8207,1.3669,1,8.6067,1.3669,1,0.2500
Holguera,29,758,379.0,25.91,9.76,17.80,8.8986,2.3202,10.7474,1.2351,8.8986,2.3202,0,8.8986,2.3202,0,7.4936,1.2351,1,0.2500
Aldea del Obispo. La,19,350,175.0,15.87,15.66,19.84,9.9196,2.1958,15.1027,1.1729,9.9196,2.1958,0,9.9196,2.1958,0,8.0920,1.1729,1,0.2500
Hornachos,1,3867,1933.5,16.65,15.43,19.73,9.8651,2.2124,8.5791,1.1812,8.5791,1.1812,1,8.5791,1.1812,1,8.0121,1.1812,1,0.2500
Zalamea de la Serena,6,3978,1989.0,16.48,9.98,17.81,8.9061,2.0437,8.0815,1.0969,8.0815,1.0969,1,8.0815,1.0969,1,7.5704,1.0969,1,0.2500
Madroñera,19,2916,1458.0,15.58,15.66,19.74,9.8696,2.1871,8.7922,1.1685,8.7922,1.1685,1,8.7922,1.1685,1,8.0670,1.1685,1,0.2500
Ibahernando,19,488,244.0,15.49,15.66,19.71,9.8546,2.1844,13.0503,1.1672,9.8546,2.1844,0,9.8546,2.1844,0,8.0595,1.1672,1,0.2500
Baterno,11,352,176.0,17.14,33.44,25.90,12.9521,2.7674,16.5783,1.4587,12.9521,2.7674,0,12.9521,2.7674,0,9.5934,1.4587,1,0.2500
Casares de las Hurdes,21,528,264.0,13.69,21.42,21.67,10.8343,2.3034,13.1520,1.2267,10.8343,2.3034,0,10.8343,2.3034,0,8.6993,1.2267,1,0.2500
Portezuelo,20,268,134.0,15.40,6.65,16.45,8.2235,1.9115,16.4401,1.0307,8.2235,1.9115,0,8.2235,1.9115,0,7.2189,1.0307,1,0.2500
Gargüera,29,132,66.0,25.14,9.76,17.53,8.7636,2.2971,26.3212,1.2235,8.7636,2.2971,0,8.7636,2.2971,0,7.4261,1.2235,1,0.2500
Santa Cruz de la Sierra,19,270,135.0,15.08,15.66,19.57,9.7846,2.1721,17.1516,1.1610,9.7846,2.1721,0,9.7846,2.1721,0,8.0245,1.1610,1,0.2500
Talarrubias,11,3630,1815.0,16.77,33.44,25.77,12.8871,2.7563,10.1323,1.4532,10.1323,1.4532,1,10.1323,1.4532,1,9.5609,1.4532,1,0.2500
Aldea del Cano,46,721,360.5,29.62,12.67,18.30,9.1479,2.5188,11.0414,1.3344,9.1479,2.5188,0,9.1479,2.5188,0,7.5956,1.3344,1,0.2500
San Vicente de Alcántara,39,5808,2904.0,14.85,16.47,19.58,9.7881,2.1897,8.3245,1.1699,8.3245,1.1699,1,8.3245,1.1699,1,8.0365,1.1699,1,0.2500
